book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,no_of_pages,image_name
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm,George Orwell,4.00,4242458,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,141,cover_11.png
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,4.50,3625852,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SY75_.jpg,912,cover_12.png
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,J.K. Rowling,4.58,3503765,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1._SX50_.jpg,652,cover_13.png
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,4.40,2990867,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351._SY75_.jpg,432,cover_14.png
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,4.34,3876001,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028._SY75_.jpg,391,cover_15.png
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,F. Scott Fitzgerald,3.93,5616632,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671._SY75_.jpg,180,cover_16.png
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,C.S. Lewis,4.24,2996927,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg,206,cover_17.png
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,Anne Frank,4.20,3999587,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855._SY75_.jpg,283,cover_18.png
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay,Suzanne Collins,4.10,3476363,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188._SY75_.jpg,390,cover_19.png
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner,Khaled Hosseini,4.35,3343045,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg,371,cover_20.png
"The da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_da_Vinci_Code,Dan Brown,3.93,2448619,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968._SY75_.jpg,489,cover_21.png
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,William Golding,3.70,3071136,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg,182,cover_22.png
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,4.45,2635960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg,835,cover_23.png
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,J.D. Salinger,3.80,3741839,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg,277,cover_24.png
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,John Green,4.13,5491837,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg,313,cover_25.png
The Girl With the Dragon Tattoo (Millennium #1),https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,Stieg Larsson,4.17,3337792,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg,480,cover_26.png
"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent,Veronica Roth,4.14,4224583,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037._SY75_.jpg,487,cover_27.png
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Rick Riordan,4.31,3273211,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg,377,cover_28.png
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,3.66,7016763,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg,498,cover_29.png
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief,Markus Zusak,4.39,2753145,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,592,cover_30.png
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Ray Bradbury,3.97,2644570,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,194,cover_31.png
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre,Charlotte Brontë,4.15,2223073,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,532,cover_32.png
Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,William Shakespeare,3.74,2731540,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg,281,cover_33.png
Of Mice and Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,John Steinbeck,3.89,2706284,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg,107,cover_34.png
"Little Women (Little Women, #1)",https://www.goodreads.com/book/show/1934.Little_Women,Louisa May Alcott,4.16,2353712,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg,449,cover_35.png
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.23,1941789,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_SY75_.jpg,193,cover_36.png
The Help,https://www.goodreads.com/book/show/4667024-the-help,Kathryn Stockett,4.46,2924878,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,464,cover_37.png
Memoirs of a Geisha,https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha,Arthur Golden,4.16,2064690,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666i/930._SY75_.jpg,434,cover_38.png
"Angels & Demons (Robert Langdon, #1)",https://www.goodreads.com/book/show/960.Angels_Demons,Dan Brown,3.95,3314051,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696691404i/960._SY75_.jpg,736,cover_39.png
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver,Lois Lowry,4.12,2682286,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg,208,cover_40.png
The Alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist,Paulo Coelho,3.92,3347584,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654371463i/18144590._SY75_.jpg,182,cover_41.png
Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World,Aldous Huxley,3.99,1976428,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg,268,cover_42.png
The Little Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince,Antoine de Saint-Exupéry,4.33,2310773,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,96,cover_43.png
Gone Girl,https://www.goodreads.com/book/show/21480930-gone-girl,Gillian Flynn,4.14,3302853,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553964259i/21480930._SY75_.jpg,560,cover_44.png
Charlotte’s Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,E.B. White,4.20,1961443,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178._SY75_.jpg,184,cover_45.png
The Time Traveler's Wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,Audrey Niffenegger,4.00,1832378,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684._SX50_.jpg,537,cover_46.png
The Lovely Bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones,Alice Sebold,3.86,2423793,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg,372,cover_47.png
"Ender’s Game (Ender's Saga, #1)",https://www.goodreads.com/book/show/375802.Ender_s_Game,Orson Scott Card,4.31,1433738,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg,324,cover_48.png
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones,Cassandra Clare,4.07,2102532,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg,485,cover_49.png
Wuthering Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Emily Brontë,3.90,1925715,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg,464,cover_50.png
Life of Pi,https://www.goodreads.com/book/show/4214.Life_of_Pi,Yann Martel,3.94,1703561,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214._SY75_.jpg,460,cover_51.png
"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass,Philip Pullman,4.03,1580639,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322._SX50_.jpg,399,cover_52.png
Eragon (The Inheritance Cycle #1),https://www.goodreads.com/book/show/113436.Eragon,Christopher Paolini,3.96,1876929,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436._SX50_.jpg,503,cover_53.png
The Perks of Being a Wallflower,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,Stephen Chbosky,4.23,1914737,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg,213,cover_54.png
The Adventures of Huckleberry Finn,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,Mark Twain,3.83,1305683,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg,327,cover_55.png
"Breaking Dawn (The Twilight Saga, #4)",https://www.goodreads.com/book/show/1162543.Breaking_Dawn,Stephenie Meyer,3.75,1807068,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039438i/1162543._SY75_.jpg,756,cover_56.png
"Eclipse (The Twilight Saga, #3)",https://www.goodreads.com/book/show/428263.Eclipse,Stephenie Meyer,3.74,1920443,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038355i/428263._SY75_.jpg,629,cover_57.png
"New Moon (The Twilight Saga, #2)",https://www.goodreads.com/book/show/49041.New_Moon,Stephenie Meyer,3.61,2046445,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630592760i/49041._SX50_.jpg,563,cover_58.png
And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,Agatha Christie,4.28,1502852,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299._SY75_.jpg,264,cover_59.png
The Girl on the Train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,Paula Hawkins,3.96,3150061,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574805682i/22557272._SX50_.jpg,336,cover_60.png
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,Margaret Atwood,4.15,2245759,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,311,cover_61.png
A Thousand Splendid Suns,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini,4.45,1646003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg,372,cover_62.png
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,3.89,1548201,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618._SY75_.jpg,226,cover_63.png
Water for Elephants,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Sara Gruen,4.11,1668020,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641._SY75_.jpg,368,cover_64.png
Where the Crawdads Sing,https://www.goodreads.com/book/show/42421761-where-the-crawdads-sing,Delia Owens,4.38,3388477,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628280044i/42421761._SY75_.jpg,370,cover_65.png
"The Notebook (The Notebook, #1)",https://www.goodreads.com/book/show/33648131-the-notebook,Nicholas Sparks,4.16,1787214,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131._SY75_.jpg,227,cover_66.png
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,3.89,1733647,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085._SY75_.jpg,260,cover_67.png
Dracula,https://www.goodreads.com/book/show/17245.Dracula,Bram Stoker,4.02,1385806,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245._SY75_.jpg,488,cover_68.png
"Fifty Shades of Grey (Fifty Shades, #1)",https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,E.L. James,3.67,2776642,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853._SX50_.jpg,356,cover_69.png
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Kurt Vonnegut Jr.,4.10,1430440,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981._SY75_.jpg,275,cover_70.png
Where the Sidewalk Ends: Poems and Drawings,https://www.goodreads.com/book/show/20076302-where-the-sidewalk-ends,Shel Silverstein,4.34,1465989,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442291723i/20076302._SX50_.jpg,176,cover_71.png
"The Shining (The Shining, #1)",https://www.goodreads.com/book/show/11588.The_Shining,Stephen King,4.28,1619999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588._SY75_.jpg,497,cover_72.png
"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune,Frank Herbert,4.28,1532360,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458._SY75_.jpg,658,cover_73.png
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,Taylor Jenkins Reid,4.40,3663807,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332._SY75_.jpg,389,cover_74.png
Educated,https://www.goodreads.com/book/show/35133922-educated,Tara Westover,4.47,1718437,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635i/35133922._SY75_.jpg,352,cover_75.png
"Eat, Pray, Love",https://www.goodreads.com/book/show/19501.Eat_Pray_Love,Elizabeth Gilbert,3.64,1804829,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501._SY75_.jpg,368,cover_76.png
Sense and Sensibility,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,Jane Austen,4.09,1248083,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397245675i/14935._SY75_.jpg,409,cover_77.png
Night,https://www.goodreads.com/book/show/1617.Night,Elie Wiesel,4.38,1314392,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1709507006i/1617._SY75_.jpg,120,cover_78.png
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,Oscar Wilde,4.13,1727561,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,272,cover_79.png
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,Sarah J. Maas,4.17,3638857,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329i/50659467._SY75_.jpg,419,cover_80.png
"Holes (Holes, #1)",https://www.goodreads.com/book/show/38709.Holes,Louis Sachar,4.01,1305153,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618269830i/38709._SX50_.jpg,272,cover_81.png
The Old Man and the Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,Ernest Hemingway,3.81,1239126,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg,96,cover_82.png
All the Light We Cannot See,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,Anthony Doerr,4.31,1858012,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977._SY75_.jpg,544,cover_83.png
"Me Before You (Me Before You, #1)",https://www.goodreads.com/book/show/17347634-me-before-you,Jojo Moyes,4.26,1738952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665087720i/17347634._SY75_.jpg,369,cover_84.png
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Margaret Mitchell,4.31,1249151,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,1037,cover_85.png
The Outsiders,https://www.goodreads.com/book/show/231804.The_Outsiders,S.E. Hinton,4.14,1493486,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg,208,cover_86.png
"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/book/show/20957276-the-maze-runner,James Dashner,4.05,1614628,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412070617i/20957276._SY75_.jpg,373,cover_87.png
"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/book/show/9969571-ready-player-one,Ernest Cline,4.23,1246278,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571._SY75_.jpg,480,cover_88.png
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,3.98,1248098,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg,218,cover_89.png
"Insurgent (Divergent, #2)",https://www.goodreads.com/book/show/11735983-insurgent,Veronica Roth,3.97,1576136,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983._SY75_.jpg,525,cover_90.png
The Secret Garden,https://www.goodreads.com/book/show/2998.The_Secret_Garden,Frances Hodgson Burnett,4.16,1241534,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg,331,cover_91.png
The Silent Patient,https://www.goodreads.com/book/show/40097951-the-silent-patient,Alex Michaelides,4.17,2831525,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668782119i/40097951._SY75_.jpg,336,cover_92.png
"It Ends with Us (It Ends with Us, #1)",https://www.goodreads.com/book/show/27362503-it-ends-with-us,Colleen Hoover,4.11,4251018,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688011813i/27362503._SY75_.jpg,386,cover_93.png
The Secret Life of Bees,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,Sue Monk Kidd,4.10,1327428,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628532099i/37435._SY75_.jpg,302,cover_94.png
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Ransom Riggs,3.92,1322192,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623449170i/9460487._SY75_.jpg,352,cover_95.png
The Martian,https://www.goodreads.com/book/show/18007564-the-martian,Andy Weir,4.42,1210202,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054i/18007564._SY75_.jpg,384,cover_96.png
The Midnight Library,https://www.goodreads.com/book/show/52578297-the-midnight-library,Matt Haig,3.99,2170392,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602190253i/52578297._SY75_.jpg,288,cover_97.png
Looking for Alaska,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,John Green,3.96,1694057,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652042180i/99561._SY75_.jpg,221,cover_98.png
Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park,Rainbow Rowell,3.93,1226175,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742i/15745753._SX50_.jpg,328,cover_99.png
The Odyssey,https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.82,1139064,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381._SY75_.jpg,541,cover_100.png
The Nightingale,https://www.goodreads.com/book/show/21853621-the-nightingale,Kristin Hannah,4.64,1763053,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621._SY75_.jpg,564,cover_101.png
The Stranger,https://www.goodreads.com/book/show/49552.The_Stranger,Albert Camus,4.03,1265209,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738704267i/49552._SY75_.jpg,123,cover_102.png
My Sister’s Keeper,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,Jodi Picoult,4.10,1255435,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917._SY75_.jpg,423,cover_103.png
The Giving Tree,https://www.goodreads.com/book/show/370493.The_Giving_Tree,Shel Silverstein,4.38,1192964,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1725807591i/370493._SX50_.jpg,64,cover_104.png
Eleanor Oliphant Is Completely Fine,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,Gail Honeyman,4.23,1339784,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493724347i/31434883._SY75_.jpg,336,cover_105.png
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.31,1776600,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848._SY75_.jpg,408,cover_106.png
"The Selection (The Selection, #1)",https://www.goodreads.com/book/show/10507293-the-selection,Kiera Cass,4.07,1682816,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg,336,cover_107.png
Verity,https://www.goodreads.com/book/show/59344312-verity,Colleen Hoover,4.30,3375654,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634158558i/59344312._SY75_.jpg,336,cover_108.png
It,https://www.goodreads.com/book/show/830502.It,Stephen King,4.24,1205421,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502._SY75_.jpg,1184,cover_109.png
Paper Towns,https://www.goodreads.com/book/show/6442769-paper-towns,John Green,3.70,1447178,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg,305,cover_110.png
Into the Wild,https://www.goodreads.com/book/show/1845.Into_the_Wild,Jon Krakauer,4.02,1149205,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634587789i/1845._SY75_.jpg,207,cover_111.png
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters,Rick Riordan,4.24,1289088,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186._SX50_.jpg,279,cover_112.png
Where the Wild Things Are,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Maurice Sendak,4.25,1035397,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543._SX50_.jpg,38,cover_113.png
"Fourth Wing (The Empyrean, #1)",https://www.goodreads.com/book/show/61431922-fourth-wing,Rebecca Yarros,4.58,2829722,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701980900i/61431922._SY75_.jpg,498,cover_114.png
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/16034235-throne-of-glass,Sarah J. Maas,4.18,2042287,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1419066050i/16034235._SY75_.jpg,406,cover_115.png
